startMonth,startDay,startYear,endMonth,endDay,endYear,wikiUrl,text,fontSize,fontFamily,bold,color,backgroundColor,croptop,cropright,cropbottom,cropleft,positiontop,positionleft,scale,height,verticalOffset,textWeek,zIndexOverride,tooltip
8,23,1192,9,2,1192,https://en.wikipedia.org/wiki/Third_Crusade,THIRD CRUSADE ENDS,2.1em,Arial,TRUE,WHITE,BROWN,30,0,10,0,40%,15%,20,0.70,20,1,21,
1,1,1346,1,8,1346,https://en.wikipedia.org/wiki/Black_Death,BLACK DEATH BEGINS,2.3em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,8%,20,0.80,0,2,20,
9,4,1346,9,10,1346,https://en.wikipedia.org/wiki/Siege_of_Calais_(1346%E2%80%931347),SIEGE OF CALAIS BEGINS,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,8%,20,0.80,20,1,20,
7,23,1347,8,3,1347,https://en.wikipedia.org/wiki/Siege_of_Calais_(1346%E2%80%931347),SIEGE OF CALAIS ENDS,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,10%,20,0.80,20,1,20,
1,1,1353,1,6,1353,https://en.wikipedia.org/wiki/Black_Death,BLACK DEATH ENDS,2.3em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,8%,20,0.80,0,1,20,
8,30,1363,10,4,1363,https://en.wikipedia.org/wiki/Battle_of_Lake_Poyang,LAKE POYANG,2.3em,Arial,TRUE,GOLD,RED,30,0,10,0,40%,22%,20,0.80,0,3,9,
10,12,1428,10,18,1428,https://en.wikipedia.org/wiki/Siege_of_Orl%C3%A9ans,SIEGE OF ORLEANS BEGINS,2.3em,Arial,TRUE,WHITE,PURPLE,30,0,10,0,40%,5%,20,0.80,20,1,20,
5,3,1429,5,8,1429,https://en.wikipedia.org/wiki/Siege_of_Orl%C3%A9ans,SIEGE OF ORLEANS ENDS,2.3em,Arial,TRUE,WHITE,PURPLE,30,0,10,0,40%,1%,20,0.80,20,1,20,
4,6,1453,5,29,1453,https://en.wikipedia.org/wiki/Fall_of_Constantinople,FALL OF CONSTANTINOPLE,2.3em,Arial,TRUE,BLACK,RED,30,0,10,0,40%,5%,20,0.80,0,"2,6",20,
1,1,1492,1,2,1492,https://en.wikipedia.org/wiki/Granada_War,GRANADA FALLS,1.15em,Arial,TRUE,RED,YELLOW,30,0,10,0,45%,17%,20,0.70,20,1,21,
9,20,1519,9,27,1519,https://en.wikipedia.org/wiki/Magellan_expedition,MAGELLAN EXPEDITION STARTS,2.1em,Arial,TRUE,RED,GOLD,30,0,10,0,40%,2%,20,0.80,0,2,20,
5,26,1521,8,13,1521,https://en.wikipedia.org/wiki/Fall_of_Tenochtitlan,FALL OF TENOCHITITLAN,2.3em,Arial,TRUE,RED,GOLD,30,0,10,0,40%,12%,20,0.80,0,"4,9,15",20,
9,1,1522,9,6,1522,https://en.wikipedia.org/wiki/Magellan_expedition,MAGELLAN EXPEDITION ENDS,1.3em,Arial,TRUE,RED,GOLD,30,0,10,0,40%,2%,20,0.80,0,2,20,
2,1,1534,6,24,1535,https://en.wikipedia.org/wiki/M%C3%BCnster_rebellion,MUNSTER REBELLION,2.3em,Arial,TRUE,WHITE,BLACK,30,0,10,0,40%,15%,20,0.80,10,"2,7,12,17,22,27,32,37,43,48,53,59,64,69,75,80,85",19,
1,26,1554,2,6,1554,https://en.wikipedia.org/wiki/Wyatt%27s_rebellion,WYATT'S REBELLION,2.3em,Arial,TRUE,white,black,30,0,10,0,35%,12%,20,0.70,20,3,21,
4,14,1560,7,7,1560,https://en.wikipedia.org/wiki/Siege_of_Leith,SIEGE OF LIETH,2.1em,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,24%,20,0.70,20,"2,6,11",21,
8,6,1566,9,8,1566,https://en.wikipedia.org/wiki/Siege_of_Szigetv%C3%A1r,SIEGE OF SZIGETVAR,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,18%,20,0.80,0,2,20,
11,9,1569,1,21,1570,https://en.wikipedia.org/wiki/Rising_of_the_North,RISING OF THE NORTH,2.1em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,17%,20,0.70,20,"1,6,11",21,
10,1,1582,10,9,1582,https://en.wikipedia.org/wiki/Gregorian_calendar,GREGORIAN CALENDAR,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,13%,20,0.80,0,2,20,
1,1,1585,1,12,1585,https://en.wikipedia.org/wiki/Anglo-Spanish_War_(1585%E2%80%931604),ANGLO-SPANISH WAR BEGINS,2.1em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,3%,20,0.70,20,2,21,
5,27,1586,5,29,1586,https://en.wikipedia.org/wiki/Raid_on_St._Augustine,DRAKE RAIDS ST. AUGUSTINE,1.0em,Arial,TRUE,RED,GOLD,30,0,10,0,50%,2%,20,0.80,0,1,20,
7,29,1588,8,8,1588,https://en.wikipedia.org/wiki/Spanish_Armada,SPANISH ARMADA ATTACKS,2.1em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,3%,20,0.70,20,3,21,
1,6,1596,1,20,1596,https://en.wikipedia.org/wiki/Drake%27s_Assault_on_Panama,DRAKE'S FAILED ASSAULT ON PANAMA,1.6em,Arial,TRUE,RED,YELLOW,30,0,10,0,42%,2%,59,0.70,-38,2,21,Drake's Assault on Panama
6,30,1596,7,15,1596,https://en.wikipedia.org/wiki/Capture_of_C%C3%A1diz,CAPTURE OF CADIZ,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,35%,16%,63,0.70,-27,3,21,
3,27,1599,9,24,1599,https://en.wikipedia.org/wiki/Essex_in_Ireland,ESSEX IN IRELAND,2.3em,Arial,TRUE,WHITE,RED,30,0,10,0,35%,19%,63,0.70,-27,"4,9,15,20,25,30",21,
2,3,1601,2,8,1601,https://en.wikipedia.org/wiki/Essex%27s_Rebellion,ESSEX'S REBELLION,2.2em,Arial,TRUE,white,black,30,0,10,0,35%,2%,59,0.70,-25,2,21,Essex's Rebellion
5,1,1609,5,9,1609,https://en.wikipedia.org/wiki/Anglo-Powhatan_Wars#First_Anglo%E2%80%93Powhatan_War,FIRST ANGLO-POWHATAN WARS BEGIN,1.6em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,3%,61,0.80,-39,2,20,Anglo-Powhatan Wars
4,6,1614,4,16,1614,https://en.wikipedia.org/wiki/Anglo-Powhatan_Wars#First_Anglo%E2%80%93Powhatan_War,FIRST ANGLO-POWHATAN WARS END,1.7em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,1%,58,0.80,-31,1,20,Anglo-Powhatan Wars
5,23,1618,5,31,1618,https://en.wikipedia.org/wiki/Thirty_Years%27_War,THIRTY YEARS' WAR BEGINS,1.5em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,3%,63,0.80,-41,2,20,Thirty Years' War
3,22,1622,3,31,1622,https://en.wikipedia.org/wiki/Anglo-Powhatan_Wars#Second_Anglo-Powhatan_War,SECOND ANGLO-POWHATAN WAR BEGINS,1.0em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,6%,61,0.80,-35,2,20,Anglo-Powhatan Wars
9,10,1627,9,18,1627,https://en.wikipedia.org/wiki/Siege_of_La_Rochelle,SIEGE OF LA ROCHELLE BEGINS,1.9em,Arial,TRUE,WHITE,PURPLE,30,0,10,0,40%,4%,60,0.80,-36,2,19,Siege of La Rochelle
10,22,1628,10,28,1628,https://en.wikipedia.org/wiki/Siege_of_La_Rochelle,SIEGE OF LA ROCHELLE ENDS,2.1em,Arial,TRUE,WHITE,PURPLE,30,0,10,0,40%,2%,61,0.80,-33,1,19,Siege of La Rochelle
5,20,1631,5,24,1631,https://en.wikipedia.org/wiki/Sack_of_Magdeburg,MAGDEBURG,2.4em,Arial,TRUE,BLACK,YELLOW,30,0,10,0,40%,15%,61,0.80,-33,1,20,"Sack of Magdeburg | the destruction of the Protestant city of Magdeburg on 20-24 May 1631 by the Imperial Army and the forces of the Catholic League, resulting in the deaths of around 20,000, including both defenders and civilians. This event is considered the worst massacre of the Thirty Years' War."
9,19,1632,9,30,1632,https://en.wikipedia.org/wiki/Anglo-Powhatan_Wars#Second_Anglo-Powhatan_War,SECOND ANGLO-POWHATAN WAR ENDS,1.6em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,1%,61,0.80,-34,1,20,Anglo-Powhatan Wars
7,1,1636,7,12,1636,https://en.wikipedia.org/wiki/Pequot_War,PEQUOT WAR BEGINS,2.1em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,16%,61,0.80,-36,2,20,
9,19,1638,9,30,1638,https://en.wikipedia.org/wiki/Pequot_War,PEQUOT WAR ENDS,2.1em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,18%,58,0.80,-39,1,20,
8,1,1641,8,10,1641,https://en.wikipedia.org/wiki/English_Civil_War,FIRST ENGLISH CIVIL WAR STARTS,1.8em,Arial,TRUE,RED,TAN,30,0,10,0,40%,2%,64,0.80,-33,2,20,English Civil War
8,10,1643,9,5,1643,https://en.wikipedia.org/wiki/Siege_of_Gloucester,FAILED SIEGE OF GLOUCESTER,2.0em,Arial,TRUE,RED,LINEN,30,0,10,0,40%,2%,58,0.80,-44,2,19,"Siege of Gloucester | With Royalist miners about to reach the city's east gate and the defenders critically low on gunpowder, a Parliamentarian army led by the Earl of Essex arrived and forced Charles to lift the siege."
4,18,1644,4,30,1644,https://en.wikipedia.org/wiki/Anglo-Powhatan_Wars#Third_Anglo-Powhatan_War,THIRD ANGLO-POWHATAN WAR BEGINS,1.6em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,2%,65,0.80,-40,2,20,Anglo-Powhatan Wars
10,21,1646,10,31,1646,https://en.wikipedia.org/wiki/Anglo-Powhatan_Wars#Third_Anglo-Powhatan_War,THIRD ANGLO-POWHATAN WAR ENDS,1.8em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,1%,61,0.80,-39,1,20,
7,25,1648,11,1,1648,https://en.wikipedia.org/wiki/Battle_of_Prague_(1648),BATTLE OF PRAGUE,2.3em,Arial,TRUE,GOLD,BLUE,30,0,10,0,61%,15%,63,0.59,-53,"2,4,10,15",20,
10,18,1648,10,24,1648,https://en.wikipedia.org/wiki/Thirty_Years%27_War,THIRTY YEARS' WAR ENDS,1.9em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,10%,60,0.80,-29,1,20,
6,20,1675,6,29,1675,https://en.wikipedia.org/wiki/King_Philip%27s_War,METACOM'S WAR BEGINS,2.3em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,40%,5%,61,0.80,-37,2,20,
7,30,1676,8,8,1676,https://en.wikipedia.org/wiki/Bacon's_Rebellion,BACON'S REBELLION STARTS,2.1em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,2%,61,0.80,-39,3,20,
1,1,1677,1,9,1677,https://en.wikipedia.org/wiki/Bacon's_Rebellion,BACON'S REBELLION ENDS,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,2%,63,0.80,-43,2,20,
4,3,1678,4,12,1678,https://en.wikipedia.org/wiki/King_Philip%27s_War,METACOM'S WAR ENDS,2.3em,Arial,TRUE,black,LIGHTBLUE,30,0,10,0,40%,10%,60,0.80,-43,1,20,
8,10,1680,8,21,1680,https://en.wikipedia.org/wiki/Pueblo_Revolt,PUEBLO REVOLT,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,21%,61,0.80,-39,2,20,
7,14,1683,9,11,1683,https://en.wikipedia.org/wiki/Battle_of_Vienna,SIEGE OF VIENNA,2.3em,Arial,TRUE,RED,LIGHTGREY,30,0,10,0,40%,21%,61,0.80,-34,"2,5,10",19,
8,1,1689,8,13,1689,https://en.wikipedia.org/wiki/Protestant_Revolution_(Maryland),COODE'S REBELLION,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,16%,63,0.80,-39,2,20,"Protestant Revolution (Maryland) | The Lords Baltimore lost control of their proprietary colony, and for the next 25 years, Maryland would be ruled directly by the Crown."
3,9,1697,3,16,1697,https://en.wikipedia.org/wiki/Grand_Embassy_of_Peter_the_Great,GRAND EMBASSY OF PETER THE GREAT BEGINS,1.3em,Arial,TRUE,BLACK,RED,30,0,10,0,50%,2%,58,0.80,-57,2,9,Grand Embassy of Peter the Great
8,17,1698,8,25,1698,https://en.wikipedia.org/wiki/Grand_Embassy_of_Peter_the_Great,GRAND EMBASSY OF PETER THE GREAT ENDS,1.4em,Arial,TRUE,BLACK,RED,30,0,10,0,50%,0%,57,0.80,-42,1,9,Grand Embassy of Peter the Great
2,22,1700,2,27,1700,https://en.wikipedia.org/wiki/Great_Northern_War,GREAT NORTHERN WAR BEGINS,1.7em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,1%,58,0.80,-35,1,20,Great Northern War
9,1,1721,9,10,1721,https://en.wikipedia.org/wiki/Great_Northern_War,GREAT NORTHERN WAR ENDS,2.0em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,1%,20,0.80,0,1,20,
5,1,1755,7,9,1755,https://en.wikipedia.org/wiki/Braddock_Expedition,BRADDOCK'S EXPEDITION,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,8%,20,0.80,0,"2,7",20,
5,17,1756,5,22,1756,https://en.wikipedia.org/wiki/Seven_Years%27_War,SEVEN YEARS WAR BEGINS,2.2em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,17%,20,0.80,0,1,20,
6,22,1763,8,10,1763,https://en.wikipedia.org/wiki/Siege_of_Fort_Pitt,SIEGE OF FORT PITT,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,12%,64,0.80,-45,"4,9",20,
4,27,1763,5,7,1763,https://en.wikipedia.org/wiki/Pontiac%27s_War,PONTIAC'S WAR BEGINS,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,10%,63,0.80,-39,2,20,
5,9,1763,5,21,1763,https://en.wikipedia.org/wiki/Siege_of_Fort_Detroit,SIEGE OF FT. DETROIT BEGINS,2.1em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,2%,63,0.80,-39,2,20,Siege of Fort Detroit
10,23,1763,10,31,1763,https://en.wikipedia.org/wiki/Siege_of_Fort_Detroit,SIEGE OF FT. DETROIT ENDS,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,0%,58,0.80,-37,1,20,
10,7,1765,10,25,1765,https://en.wikipedia.org/wiki/Stamp_Act_Congress,STAMP ACT CONGRESS,2.3em,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,12%,20,0.80,0,2,20,
7,20,1766,7,25,1766,https://en.wikipedia.org/wiki/Pontiac%27s_War,PONTIAC'S WAR ENDS,2.3em,Arial,TRUE,BLACK,orange,30,0,10,0,40%,3%,60,0.80,-28,1,20,
9,5,1774,10,26,1774,https://en.wikipedia.org/wiki/First_Continental_Congress,FIRST CONTINENTAL CONGRESS,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,3%,20,0.80,0,"2,6",20,
4,19,1775,4,29,1775,https://en.wikipedia.org/wiki/Siege_of_Boston,SIEGE OF BOSTON BEGINS,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,12%,20,0.80,0,2,20,
5,10,1775,5,20,1775,https://en.wikipedia.org/wiki/Second_Continental_Congress,SECOND CONTINENTAL CONGRESS BEGINS,1.6em,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,1%,20,0.80,0,2,20,
3,10,1776,3,17,1776,https://en.wikipedia.org/wiki/Siege_of_Boston,SIEGE OF BOSTON ENDS,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,15%,20,0.80,0,1,20,
6,11,1776,7,5,1776,https://en.wikipedia.org/wiki/Committee_of_Five,INDEPENDENCE COMMITTEE,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,8%,20,0.80,0,2,20,
7,2,1777,7,6,1777,https://en.wikipedia.org/wiki/Siege_of_Fort_Ticonderoga_(1777),FT. TICHONDEROGA,2.0EM,Arial,TRUE,WHITE,RED,30,0,10,0,40%,1%,20,0.80,0,1,20,
8,2,1777,8,22,1777,https://en.wikipedia.org/wiki/Siege_of_Fort_Stanwix,SIEGE OF FORT STANWIX,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,13%,20,0.80,0,2,20,
12,19,1777,6,19,1778,https://en.wikipedia.org/wiki/Valley_Forge,VALLEY FORGE,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,27%,20,0.80,-42,"2,4,9,13,18,23,29",20,
6,18,1779,10,3,1779,https://en.wikipedia.org/wiki/Sullivan_Expedition,SULLIVAN EXPEDITION,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,17%,20,0.80,0,"2,5,10,15",20,
3,29,1780,5,12,1780,https://en.wikipedia.org/wiki/Siege_of_Charleston,SIEGE OF CHARLESTON,2.0EM,Arial,TRUE,WHITE,RED,30,0,10,0,40%,14%,60,0.80,-42,3,20,
9,28,1781,10,19,1781,https://en.wikipedia.org/wiki/Siege_of_Yorktown,SIEGE OF YORKTOWN,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,17%,20,0.80,0,4,20,
1,1,1781,1,19,1781,https://en.wikipedia.org/wiki/Raid_on_Richmond,RAID ON RICHMOND,2.4em,Arial,TRUE,WHITE,RED,30,0,10,0,40%,15%,20,0.80,0,2,20,
2,7,1785,2,7,1785,https://en.wikipedia.org/wiki/Eleventh_Amendment_to_the_United_States_Constitution,11,3.8em,Arial,TRUE,black,white,30,0,0,0,30%,8%,20,1.00,0,1,80,
8,29,1786,2,14,1787,https://en.wikipedia.org/wiki/Shays%27s_Rebellion,SHAY'S REBELLION,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,22%,20,0.80,0,"3,8,13,18,23,28",20,
5,17,1787,9,17,1787,https://en.wikipedia.org/wiki/Constitutional_Convention_(United_States),CONSTITUTIONAL CONVENTION,2.1EM,Arial,TRUE,WHITE,BLUE,30,0,10,0,40%,3%,20,0.80,0,"2,5,11,15,20",20,
10,21,1790,10,28,1790,https://www.britannica.com/question/Who-did-the-Haitian-Revolution-involve,OGE REBELLION,2.3EM,Arial,TRUE,white,PURPLE,30,0,0,0,40%,14%,20,0.70,0,2,80,
8,22,1791,8,27,1791,https://en.wikipedia.org/wiki/Haitian_Revolution,HAITIAN REVOLUTION BEGINS,1.6EM,Arial,TRUE,white,PURPLE,30,0,0,0,50%,3%,20,0.70,0,1,80,
4,20,1792,4,28,1792,https://en.wikipedia.org/wiki/War_of_the_First_Coalition,FIRST COALITION BEGINS,2.3EM,Arial,TRUE,white,PURPLE,30,0,0,0,40%,10%,20,0.70,0,2,80,
9,2,1792,9,6,1792,https://en.wikipedia.org/wiki/September_Massacres,SEP MASSACRES,2.3EM,Arial,TRUE,white,PURPLE,30,0,0,0,40%,10%,20,0.70,0,1,80,
3,1,1792,4,30,1792,https://en.wikipedia.org/wiki/Panic_of_1792,PANIC OF 1782,2.3em,Arial,TRUE,WHITE,GREEN,30,0,10,0,40%,25%,20,0.80,10,"2,7",19,
12,3,1792,1,15,1793,https://en.wikipedia.org/wiki/Trial_of_Louis_XVI,TRIAL OF LOUIS XVI,2.3EM,Arial,TRUE,white,PURPLE,30,0,0,0,40%,17%,20,0.70,0,"2,6",80,
